,Fuel_Type,Fuel_Type_Code
0,Petrol,2
1,Diesel,1
2,Petrol,2
3,Petrol,2
4,Diesel,1
5,Diesel,1
6,Petrol,2
7,Diesel,1
8,Diesel,1
9,Diesel,1
10,Petrol,2
11,Diesel,1
12,Petrol,2
13,Petrol,2
14,Petrol,2
15,Diesel,1
16,Diesel,1
17,Diesel,1
18,CNG,0
19,Petrol,2
20,Petrol,2
21,Petrol,2
22,Petrol,2
23,Petrol,2
24,Petrol,2
25,Petrol,2
26,Petrol,2
27,Petrol,2
28,Petrol,2
29,Diesel,1
30,Diesel,1
31,Petrol,2
32,Diesel,1
33,Diesel,1
34,Diesel,1
35,CNG,0
36,Petrol,2
37,Petrol,2
38,Petrol,2
39,Petrol,2
40,Petrol,2
41,Petrol,2
42,Petrol,2
43,Diesel,1
44,Petrol,2
45,Petrol,2
46,Petrol,2
47,Petrol,2
48,Petrol,2
49,Petrol,2
50,Diesel,1
51,Diesel,1
52,Diesel,1
53,Diesel,1
54,Petrol,2
55,Petrol,2
56,Petrol,2
57,Petrol,2
58,Petrol,2
59,Diesel,1
60,Petrol,2
61,Petrol,2
62,Diesel,1
63,Diesel,1
64,Diesel,1
65,Diesel,1
66,Petrol,2
67,Diesel,1
68,Petrol,2
69,Petrol,2
70,Diesel,1
71,Diesel,1
72,Petrol,2
73,Petrol,2
74,Diesel,1
75,Petrol,2
76,Petrol,2
77,Petrol,2
78,Petrol,2
79,Diesel,1
80,Diesel,1
81,Diesel,1
82,Diesel,1
83,Diesel,1
84,Diesel,1
85,Petrol,2
86,Diesel,1
87,Petrol,2
88,Petrol,2
89,Petrol,2
90,Petrol,2
91,Diesel,1
92,Petrol,2
93,Diesel,1
94,Petrol,2
95,Petrol,2
96,Diesel,1
97,Petrol,2
98,Petrol,2
99,Diesel,1
100,Petrol,2
101,Petrol,2
102,Petrol,2
103,Petrol,2
104,Petrol,2
105,Petrol,2
106,Petrol,2
107,Petrol,2
108,Petrol,2
109,Petrol,2
110,Petrol,2
111,Petrol,2
112,Petrol,2
113,Petrol,2
114,Petrol,2
115,Petrol,2
116,Petrol,2
117,Petrol,2
118,Petrol,2
119,Petrol,2
120,Petrol,2
121,Petrol,2
122,Petrol,2
123,Petrol,2
124,Petrol,2
125,Petrol,2
126,Petrol,2
127,Petrol,2
128,Petrol,2
129,Petrol,2
130,Petrol,2
131,Petrol,2
132,Petrol,2
133,Petrol,2
134,Petrol,2
135,Petrol,2
136,Petrol,2
137,Petrol,2
138,Petrol,2
139,Petrol,2
140,Petrol,2
141,Petrol,2
142,Petrol,2
143,Petrol,2
144,Petrol,2
145,Petrol,2
146,Petrol,2
147,Petrol,2
148,Petrol,2
149,Petrol,2
150,Petrol,2
151,Petrol,2
152,Petrol,2
153,Petrol,2
154,Petrol,2
155,Petrol,2
156,Petrol,2
157,Petrol,2
158,Petrol,2
159,Petrol,2
160,Petrol,2
161,Petrol,2
162,Petrol,2
163,Petrol,2
164,Petrol,2
165,Petrol,2
166,Petrol,2
167,Petrol,2
168,Petrol,2
169,Petrol,2
170,Petrol,2
171,Petrol,2
172,Petrol,2
173,Petrol,2
174,Petrol,2
175,Petrol,2
176,Petrol,2
177,Petrol,2
178,Petrol,2
179,Petrol,2
180,Petrol,2
181,Petrol,2
182,Petrol,2
183,Petrol,2
184,Petrol,2
185,Petrol,2
186,Petrol,2
187,Petrol,2
188,Petrol,2
189,Petrol,2
190,Petrol,2
191,Petrol,2
192,Petrol,2
193,Petrol,2
194,Petrol,2
195,Petrol,2
196,Petrol,2
197,Petrol,2
198,Petrol,2
199,Petrol,2
200,Petrol,2
201,Diesel,1
202,Petrol,2
203,Petrol,2
204,Petrol,2
205,Petrol,2
206,Petrol,2
207,Petrol,2
208,Petrol,2
209,Diesel,1
210,Petrol,2
211,Diesel,1
212,Petrol,2
213,Petrol,2
214,Petrol,2
215,Petrol,2
216,Petrol,2
217,Petrol,2
218,Petrol,2
219,Petrol,2
220,Petrol,2
221,Petrol,2
222,Diesel,1
223,Diesel,1
224,Petrol,2
225,Petrol,2
226,Petrol,2
227,Petrol,2
228,Diesel,1
229,Diesel,1
230,Diesel,1
231,Petrol,2
232,Petrol,2
233,Diesel,1
234,Petrol,2
235,Petrol,2
236,Petrol,2
237,Diesel,1
238,Petrol,2
239,Petrol,2
240,Diesel,1
241,Petrol,2
242,Petrol,2
243,Petrol,2
244,Diesel,1
245,Diesel,1
246,Petrol,2
247,Petrol,2
248,Petrol,2
249,Petrol,2
250,Diesel,1
251,Petrol,2
252,Petrol,2
253,Diesel,1
254,Petrol,2
255,Petrol,2
256,Petrol,2
257,Petrol,2
258,Petrol,2
259,Petrol,2
260,Petrol,2
261,Petrol,2
262,Petrol,2
263,Petrol,2
264,Petrol,2
265,Petrol,2
266,Petrol,2
267,Diesel,1
268,Petrol,2
269,Petrol,2
270,Petrol,2
271,Petrol,2
272,Petrol,2
273,Petrol,2
274,Petrol,2
275,Petrol,2
276,Petrol,2
277,Petrol,2
278,Petrol,2
279,Petrol,2
280,Petrol,2
281,Petrol,2
282,Diesel,1
283,Petrol,2
284,Petrol,2
285,Petrol,2
286,Petrol,2
287,Petrol,2
288,Petrol,2
289,Petrol,2
290,Petrol,2
291,Petrol,2
292,Petrol,2
293,Petrol,2
294,Petrol,2
295,Diesel,1
296,Diesel,1
297,Petrol,2
298,Petrol,2
299,Diesel,1
300,Petrol,2
