,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Name_Code,Fuel_Type_Code,Seller_Type_Code,Transmission_Code
171,Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,25,2,1,1
32,swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,92,1,0,1
300,brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0,66,2,0,1
298,city,2009,3.35,11.0,87934,Petrol,Dealer,Manual,0,69,2,0,1
50,fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,81,1,0,0
66,innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,86,2,0,0
272,city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,69,2,0,1
288,city,2015,8.4,13.6,34000,Petrol,Dealer,Manual,0,69,2,0,1
224,verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,94,2,0,0
41,alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,63,2,0,1
85,camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,67,2,1,0
183,Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,9,2,1,1
228,verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,94,1,0,1
210,i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,83,2,0,1
200,Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,14,2,1,1
137,Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,20,2,1,1
265,jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,87,2,0,1
48,ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,76,2,0,1
16,ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,76,1,0,1
196,Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,1,2,1,0
138,Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,32,2,1,1
99,fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,81,1,0,1
79,fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,81,1,0,0
211,elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,74,1,0,1
225,i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,83,2,0,1
253,city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,69,1,0,1
17,ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,76,1,0,1
10,alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,62,2,0,1
259,amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,64,2,0,1
284,brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0,66,2,0,1
38,alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,63,2,0,1
127,Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,4,2,1,1
236,eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,75,2,0,1
262,amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,64,2,0,1
29,ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,68,1,0,1
77,corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,70,2,0,0
209,grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,82,1,0,1
180,Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,23,2,1,1
1,sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,93,1,0,1
145,TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,51,2,1,1
130,Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,32,2,1,1
107,Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,48,2,1,1
141,Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,5,2,1,1
170,Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,59,2,1,1
144,Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,12,2,1,1
6,ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,68,2,0,1
214,grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,82,2,0,1
69,corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,71,2,0,1
