,Transmission,Transmission_Code
0,Manual,1
1,Manual,1
2,Manual,1
3,Manual,1
4,Manual,1
5,Manual,1
6,Manual,1
7,Manual,1
8,Manual,1
9,Manual,1
10,Manual,1
11,Manual,1
12,Automatic,0
13,Manual,1
14,Manual,1
15,Manual,1
16,Manual,1
17,Manual,1
18,Manual,1
19,Manual,1
20,Manual,1
21,Manual,1
22,Automatic,0
23,Manual,1
24,Manual,1
25,Manual,1
26,Manual,1
27,Manual,1
28,Manual,1
29,Manual,1
30,Manual,1
31,Manual,1
32,Manual,1
33,Manual,1
34,Manual,1
35,Manual,1
36,Manual,1
37,Manual,1
38,Manual,1
39,Manual,1
40,Automatic,0
41,Manual,1
42,Manual,1
43,Manual,1
44,Manual,1
45,Automatic,0
46,Manual,1
47,Manual,1
48,Manual,1
49,Automatic,0
50,Automatic,0
51,Automatic,0
52,Automatic,0
53,Automatic,0
54,Manual,1
55,Automatic,0
56,Manual,1
57,Manual,1
58,Manual,1
59,Automatic,0
60,Manual,1
61,Manual,1
62,Automatic,0
63,Automatic,0
64,Automatic,0
65,Manual,1
66,Automatic,0
67,Manual,1
68,Manual,1
69,Manual,1
70,Manual,1
71,Manual,1
72,Manual,1
73,Manual,1
74,Manual,1
75,Manual,1
76,Manual,1
77,Automatic,0
78,Automatic,0
79,Automatic,0
80,Manual,1
81,Manual,1
82,Automatic,0
83,Manual,1
84,Manual,1
85,Automatic,0
86,Manual,1
87,Manual,1
88,Manual,1
89,Manual,1
90,Manual,1
91,Manual,1
92,Manual,1
93,Automatic,0
94,Automatic,0
95,Manual,1
96,Automatic,0
97,Manual,1
98,Manual,1
99,Manual,1
100,Manual,1
101,Manual,1
102,Manual,1
103,Manual,1
104,Manual,1
105,Manual,1
106,Manual,1
107,Manual,1
108,Manual,1
109,Manual,1
110,Manual,1
111,Manual,1
112,Manual,1
113,Manual,1
114,Manual,1
115,Manual,1
116,Manual,1
117,Manual,1
118,Manual,1
119,Manual,1
120,Manual,1
121,Manual,1
122,Manual,1
123,Manual,1
124,Manual,1
125,Manual,1
126,Manual,1
127,Manual,1
128,Manual,1
129,Manual,1
130,Manual,1
131,Manual,1
132,Manual,1
133,Manual,1
134,Manual,1
135,Manual,1
136,Manual,1
137,Manual,1
138,Manual,1
139,Manual,1
140,Manual,1
141,Manual,1
142,Manual,1
143,Manual,1
144,Manual,1
145,Manual,1
146,Manual,1
147,Manual,1
148,Manual,1
149,Manual,1
150,Manual,1
151,Manual,1
152,Manual,1
153,Manual,1
154,Manual,1
155,Automatic,0
156,Manual,1
157,Manual,1
158,Manual,1
159,Automatic,0
160,Manual,1
161,Manual,1
162,Manual,1
163,Manual,1
164,Manual,1
165,Automatic,0
166,Manual,1
167,Manual,1
168,Manual,1
169,Manual,1
170,Manual,1
171,Manual,1
172,Manual,1
173,Automatic,0
174,Manual,1
175,Manual,1
176,Manual,1
177,Automatic,0
178,Automatic,0
179,Manual,1
180,Manual,1
181,Manual,1
182,Manual,1
183,Manual,1
184,Manual,1
185,Automatic,0
186,Automatic,0
187,Manual,1
188,Manual,1
189,Manual,1
190,Manual,1
191,Manual,1
192,Manual,1
193,Manual,1
194,Manual,1
195,Manual,1
196,Automatic,0
197,Manual,1
198,Manual,1
199,Manual,1
200,Manual,1
201,Manual,1
202,Manual,1
203,Manual,1
204,Manual,1
205,Manual,1
206,Manual,1
207,Automatic,0
208,Manual,1
209,Manual,1
210,Manual,1
211,Manual,1
212,Manual,1
213,Manual,1
214,Manual,1
215,Manual,1
216,Manual,1
217,Manual,1
218,Manual,1
219,Manual,1
220,Manual,1
221,Automatic,0
222,Manual,1
223,Manual,1
224,Automatic,0
225,Manual,1
226,Manual,1
227,Manual,1
228,Manual,1
229,Manual,1
230,Manual,1
231,Manual,1
232,Automatic,0
233,Manual,1
234,Manual,1
235,Manual,1
236,Manual,1
237,Manual,1
238,Manual,1
239,Manual,1
240,Manual,1
241,Manual,1
242,Manual,1
243,Manual,1
244,Manual,1
245,Manual,1
246,Manual,1
247,Manual,1
248,Manual,1
249,Manual,1
250,Manual,1
251,Manual,1
252,Automatic,0
253,Manual,1
254,Manual,1
255,Manual,1
256,Manual,1
257,Manual,1
258,Manual,1
259,Manual,1
260,Manual,1
261,Manual,1
262,Manual,1
263,Manual,1
264,Manual,1
265,Manual,1
266,Manual,1
267,Manual,1
268,Manual,1
269,Manual,1
270,Manual,1
271,Manual,1
272,Manual,1
273,Manual,1
274,Manual,1
275,Automatic,0
276,Manual,1
277,Manual,1
278,Manual,1
279,Manual,1
280,Manual,1
281,Manual,1
282,Manual,1
283,Manual,1
284,Manual,1
285,Automatic,0
286,Manual,1
287,Automatic,0
288,Manual,1
289,Manual,1
290,Manual,1
291,Manual,1
292,Manual,1
293,Manual,1
294,Manual,1
295,Manual,1
296,Manual,1
297,Manual,1
298,Manual,1
299,Manual,1
300,Manual,1
